
🌿 KisanBazaar server running at http://localhost:8080
💳 Razorpay: ⚠️  Keys not set — add them to .env

  To configure Razorpay:
  1. Go to https://dashboard.razorpay.com → Test Mode → Settings → API Keys
  2. Edit kisanbazaar/.env and replace the placeholder values
  3. Restart the server: node server.js

[2026-03-29T18:18:28.633Z] GET /images/products/cabbage_real.png
[2026-03-29T18:18:28.633Z] GET /images/products/broccoli_v2.png
[2026-03-29T18:18:28.633Z] GET /images/products/potatoes.png
[2026-03-29T18:18:28.634Z] GET /images/products/beetroot_real.png
[2026-03-29T18:18:28.640Z] GET /images/products/garlic.png
[2026-03-29T18:18:28.640Z] GET /images/products/ginger.png
[2026-03-29T18:18:28.640Z] GET /images/products/onions.png
[2026-03-29T18:18:28.640Z] GET /images/products/tomatoes.png
[2026-03-29T18:18:28.641Z] GET /images/products/spinach.png
[2026-03-29T18:18:28.641Z] GET /images/products/cauliflower.png
[2026-03-29T18:18:28.646Z] GET /images/products/green-peas.png
[2026-03-29T18:18:28.646Z] GET /images/products/french_beans_1773600471628.png
[2026-03-29T18:18:28.646Z] GET /images/products/radish_1773600558714.png
[2026-03-29T18:18:28.646Z] GET /images/products/green-chillies.png
[2026-03-29T18:18:28.646Z] GET /images/products/bitter_gourd_real.png
[2026-03-29T18:18:28.647Z] GET /images/products/ridge_gourd_real.png
[2026-03-29T18:18:28.652Z] GET /images/products/pumpkin_real.png
[2026-03-29T18:18:28.652Z] GET /images/products/drumstick_real.png
[2026-03-29T18:18:28.652Z] GET /images/products/capsicum_real.png
[2026-03-29T18:18:28.652Z] GET /images/products/apple.png
[2026-03-29T18:18:28.652Z] GET /images/products/banana_robusta_real.png
[2026-03-29T18:18:28.652Z] GET /images/products/orange.png
[2026-03-29T18:18:28.659Z] GET /images/products/pomegranate_real.png
[2026-03-29T18:18:28.659Z] GET /images/products/papaya_real.png
[2026-03-29T18:18:28.659Z] GET /images/products/guava_real.png
[2026-03-29T18:18:28.660Z] GET /images/products/custard_apple_real.png
[2026-03-29T18:18:28.660Z] GET /images/products/watermelon_1773599596616.png
[2026-03-29T18:18:28.660Z] GET /images/products/muskmelon_1773599617680.png
[2026-03-29T18:18:28.666Z] GET /images/products/strawberry_1773599656220.png
[2026-03-29T18:18:28.667Z] GET /images/products/pineapple_1773599691785.png
[2026-03-29T18:18:28.667Z] GET /images/products/kiwi_1773600112964.png
[2026-03-29T18:18:28.667Z] GET /images/products/dragon_fruit_1773599756927.png
[2026-03-29T18:18:28.667Z] GET /images/products/pear_1773599784453.png
[2026-03-29T18:18:28.667Z] GET /images/products/chikoo_real.png
[2026-03-29T18:18:28.675Z] GET /images/products/grapes.png
[2026-03-29T18:18:28.676Z] GET /images/products/mangoes.png
[2026-03-29T18:18:28.676Z] GET /images/products/plum_1773600148242.png
[2026-03-29T18:18:28.676Z] GET /images/products/brown_rice_1773599824210.png
[2026-03-29T18:18:28.676Z] GET /images/products/black_rice_1773600173290.png
[2026-03-29T18:18:28.677Z] GET /images/products/jowar_1773599853798.png
[2026-03-29T18:18:28.683Z] GET /images/products/bajra_1773599928300.png
[2026-03-29T18:18:28.683Z] GET /images/products/wheat-flour.png
[2026-03-29T18:18:28.683Z] GET /images/products/chickpeas.png
[2026-03-29T18:18:28.684Z] GET /images/products/toor-dal.png
[2026-03-29T18:18:28.684Z] GET /images/products/red-lentils.png
[2026-03-29T18:18:28.684Z] GET /images/products/product_a2_milk_glass_bottle_1773582219298.png
[2026-03-29T18:18:28.690Z] GET /images/products/paneer.png
[2026-03-29T18:18:28.690Z] GET /images/products/milk.png
[2026-03-29T18:18:28.690Z] GET /images/products/groundnut-oil.png
[2026-03-29T18:18:28.690Z] GET /images/products/cashew.png
[2026-03-29T18:18:28.690Z] GET /images/products/walnut.png
[2026-03-29T18:18:28.691Z] GET /images/products/turmeric.png
[2026-03-29T18:19:04.055Z] GET /index.html
[2026-03-29T18:19:04.072Z] GET /css/style.css
[2026-03-29T18:19:04.078Z] GET /images/produce_basket.png
[2026-03-29T18:19:04.079Z] GET /images/favicon-32x32.png
[2026-03-29T18:19:04.080Z] GET /js/cart.js
[2026-03-29T18:19:04.084Z] GET /js/main.js
[2026-03-29T18:19:04.085Z] GET /js/app.js
[2026-03-29T18:19:04.094Z] GET /images/categories/vegetables_3d.png
[2026-03-29T18:19:04.095Z] GET /images/products/mangoes.png
[2026-03-29T18:19:04.095Z] GET /images/products/wheat-flour.png
[2026-03-29T18:19:04.095Z] GET /images/products/milk.png
[2026-03-29T18:19:04.100Z] GET /images/products/ginger.png
[2026-03-29T18:19:04.101Z] GET /images/products/turmeric.png
[2026-03-29T18:19:04.108Z] GET /images/products/chickpeas.png
[2026-03-29T18:19:04.110Z] GET /images/products/tomatoes.png
[2026-03-29T18:19:04.113Z] GET /images/products/carrot.png
[2026-03-29T18:19:04.113Z] GET /images/hills_bg.jpg
[2026-03-29T18:19:04.113Z] GET /images/products/broccoli.png
[2026-03-29T18:19:04.117Z] GET /images/popular_banner_v2.png
[2026-03-29T18:21:08.985Z] GET /products.html
[2026-03-29T18:21:09.001Z] GET /css/style.css
[2026-03-29T18:21:09.005Z] GET /js/cart.js
[2026-03-29T18:21:09.006Z] GET /js/app.js
